ts,gpu_w,gpu_busy_pct,gpu_vram_mib,gpu_temp_c,cpu_pkg_w,cpu_util_pct,mem_used_mib
1789628556.896,199.59,100.0,3508.0,66.0,14.5,32.8,4604
1789628557.923,199.23,100.0,3508.0,67.0,14.21,31.1,4601
1789628558.948,198.34,100.0,3508.0,67.0,14.06,29.9,4712
1789628559.974,199.21,96.0,3508.0,67.0,13.89,27.8,4708
1789628561.000,199.24,95.0,3508.0,67.0,14.47,29.3,4711
1789628562.025,199.39,97.0,3508.0,67.0,14.59,29.2,4704
1789628563.051,199.2,96.0,3508.0,68.0,14.18,29.2,4697
1789628564.077,199.09,96.0,3508.0,68.0,14.03,29.1,4698
1789628565.102,199.28,96.0,3508.0,68.0,14.16,29.6,4694
1789628566.131,174.05,80.0,3508.0,67.0,13.08,25.4,5060
1789628567.157,199.12,96.0,3508.0,68.0,14.28,29.2,5037
1789628568.186,199.54,95.0,3508.0,69.0,14.39,29.6,5034
1789628569.213,199.3,95.0,3508.0,69.0,14.26,29.2,5034
1789628570.239,199.1,96.0,3508.0,69.0,14.15,29.3,5033
1789628571.265,199.13,96.0,3508.0,69.0,14.39,29.4,5028
1789628572.292,199.45,96.0,3508.0,70.0,14.23,29.4,5033
1789628573.317,199.34,95.0,3508.0,70.0,14.0,29.2,5023
1789628574.342,199.42,95.0,3508.0,70.0,14.39,29.5,5018
1789628575.370,199.32,95.0,3508.0,70.0,14.37,29.4,5004
1789628576.396,149.35,95.0,3508.0,64.0,11.74,23.7,5141
1789628577.422,189.27,100.0,3508.0,70.0,14.23,31.0,5141
1789628578.448,198.93,100.0,3508.0,71.0,14.47,32.3,5140
1789628579.474,199.02,100.0,3508.0,71.0,14.52,31.8,5118
1789628580.500,199.28,100.0,3508.0,72.0,14.06,29.9,5119
1789628581.526,174.96,90.0,3508.0,70.0,12.93,24.3,5516
1789628582.552,199.06,95.0,3508.0,71.0,14.36,29.1,5511
1789628583.578,199.3,95.0,3508.0,71.0,14.46,29.1,5509
1789628584.604,199.29,95.0,3508.0,71.0,14.49,29.1,5514
1789628585.630,166.26,100.0,3508.0,71.0,12.69,26.1,5625
1789628586.656,199.79,100.0,3508.0,72.0,14.44,32.1,5623
1789628587.683,199.66,100.0,3508.0,72.0,14.68,33.3,5602
1789628588.709,199.31,100.0,3508.0,72.0,14.08,30.0,5609
1789628589.735,198.64,100.0,3508.0,72.0,13.95,28.5,5653
1789628590.761,175.6,55.0,3508.0,71.0,13.28,25.1,5978
1789628591.786,199.58,94.0,3508.0,71.0,14.23,29.2,5982
1789628592.812,199.79,94.0,3508.0,72.0,14.46,29.3,5981
1789628593.839,199.87,94.0,3508.0,72.0,14.49,29.2,5961
